direction,target_price,calc_target_price,target_time,predicted_range,predicted_duration,actual_end_price,actual_end_time,actual_direction,actual_range,actual_duration,price_error,price_error_pct,range_error,duration_error,start_time,start_price
Up,4449.663942778111,4450.0240818023685,2026-01-08 05:58:09.118194580,9.924081802368164,19.15196990966797,4442.88,2026-01-08 05:48:00,Up,2.7799999999997453,9.0,6.783942778110941,0.1526924602535054,7.144081802368419,10.151969909667969,2026-01-08 05:39:00,4440.1
Down,4434.4490439605715,4435.667358283997,2026-01-09 00:32:43.227539062,7.212641716003418,1124.720458984375,4436.69,2026-01-08 06:07:00,Down,6.190000000000509,19.0,2.240956039428056,0.05050963757729425,1.0226417160029087,1105.720458984375,2026-01-08 05:48:00,4442.88
Up,4444.0828895974155,4446.341677131652,2026-01-08 06:23:35.202827453,9.651677131652832,16.586713790893555,4440.54,2026-01-08 06:19:00,Up,3.850000000000364,12.0,3.542889597415524,0.07978510715848802,5.801677131652468,4.586713790893555,2026-01-08 06:07:00,4436.69
Down,4433.603879535198,4434.469255485535,2026-01-08 06:32:44.271469116,6.070744514465332,13.737857818603516,4423.14,2026-01-08 07:16:00,Down,17.399999999999636,57.0,10.46387953519752,0.23657129403992458,11.329255485534304,43.262142181396484,2026-01-08 06:19:00,4440.54
Up,4432.1517318320275,4431.964767112732,2026-01-08 07:31:02.041397094,8.824767112731934,15.03402328491211,4429.7,2026-01-08 07:23:00,Up,6.559999999999491,7.0,2.45173183202769,0.05534758182332189,2.264767112732443,8.03402328491211,2026-01-08 07:16:00,4423.14
Down,4417.78825519681,4420.236413192749,2026-01-08 07:42:14.471168518,9.463586807250977,19.241186141967773,4415.75,2026-01-08 07:44:00,Down,13.949999999999818,21.0,2.0382551968095868,0.046158754386221745,4.4864131927488415,1.7588138580322266,2026-01-08 07:23:00,4429.7
Up,4427.141261816025,4428.673913002014,2026-01-08 07:59:10.483875274,12.92391300201416,15.174731254577637,4429.28,2026-01-08 08:00:00,Up,13.529999999999745,16.0,2.138738183974965,0.048286362207287985,0.6060869979855852,0.8252687454223633,2026-01-08 07:44:00,4415.75
Down,4415.567809972763,4416.555610923767,2026-01-08 08:17:30.055732727,12.72438907623291,17.50092887878418,4416.04,2026-01-08 08:06:00,Down,13.239999999999782,6.0,0.4721900272370476,0.010692612096743862,0.5156109237668716,11.50092887878418,2026-01-08 08:00:00,4429.28
Up,4429.496680116654,4431.11151889801,2026-01-08 08:20:21.054439544,15.071518898010254,14.350907325744629,4437.84,2026-01-08 08:39:00,Up,21.800000000000182,33.0,8.34331988334634,0.18800407142543082,6.728481101989928,18.64909267425537,2026-01-08 08:06:00,4416.04
Down,4426.470314068794,4423.269636955261,2026-01-08 08:54:21.154804229,14.57036304473877,15.352580070495605,4430.14,2026-01-08 08:47:00,Down,7.699999999999818,8.0,3.669685931206004,0.08283453640756283,6.870363044738951,7.3525800704956055,2026-01-08 08:39:00,4437.84
